"OBJECTID_1","OBJECTID","CodigoProv","Texto","Nombre1","Nombre2","Fecha","FechaNormalizada","CasosConfirmados","Fallecidos","Altas","CCAA","NombreCCAA","Shape__Area","Shape__Length","Recuperados","HoraActualizacion","AltasDomiciliarias","Infectados","Hospitalizados","EnDomicilio","Ingresos","UCI","CasosConfirmadosEnSanitarios","CasosPosibles","Fuente","NuevoCasos","Notas","GlobalID","CreationDate","Creator","EditDate","Editor","TipoFuente","Habitantes"
"1","1","1","Araba/Álava","Araba","Álava","1585479600000","31/03/2020 12:00:00","2049","123","29","16","País Vasco","5557534465.06836","846248.046485873","null","1585566000000","null","null","376","null","null","39","null","null","https://www.irekia.euskadi.eus/es/news/61171-osakidetza-establece-centros-salud-especificos-que-atenderan-todo-euskadi-las-personas-con-sintomas-respir , http://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/29_marzo_Boletin.pdf","102","null","6587836c-e572-467b-96cb-7cfc814f42c4","1585936359017","hhkaos_hubcovid","1588868905570","Cris-Aguera","DatoOficial","331549"
"2","2","2","Albacete","null","null","1585511100000","31/03/2020 12:00:00","1707","148","null","8","Castilla-La Mancha","24626682938.0568","942989.503251279","null","1585562400000","null","null","null","null","null","82","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/ya-son-252-los-pacientes-dados-de-alta-por-infeccion-de-coronavirus-en","null","null","9d9f6287-6fa7-4e79-b9b0-cdc5164adca7","1585936359017","hhkaos_hubcovid","1590534870449","Laura_geovoluntaria","null","388167"
"3","3","3","Alacant/Alicante","Alacant","Alicante","1585518300000","31/03/2020 12:00:00","1839","135","46","10","Comunitat Valenciana","9504805442.43098","608315.064383211","null","1585569600000","null","null","null","null","null","null","null","null","null","null","null","5b4e9c4f-0c74-40b6-b347-34fcceca9912","1585936359017","hhkaos_hubcovid","1590071610393","Laura_geovoluntaria","DatosNoOficiales","1858683"
"4","4","4","Almería","null","null","1585518300000","31/03/2020 12:00:00","223","14","null","1","Andalucía","13853080471.9007","678900.156869277","null","1585563300000","null","null","96","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","4848b871-b3ec-448c-ade3-4e77cb7c5a90","1585936359017","hhkaos_hubcovid","1589364010743","Laura_geovoluntaria","DatoOficial","716820"
"5","5","5","Ávila","null","null","1585604700000","31/03/2020 12:00:00","446","46","9","7","Castilla y León","13966110337.1379","767153.038310976","null","1585567800000","null","309","133","null","null","12","null","1982","Consejería de Sanidad. Junta de Castilla y León.","32","null","dd0fcd4a-9920-4a14-b731-bc8f79b49a1f","1585936359017","hhkaos_hubcovid","1587497554692","alvarospm_covid19","DatoOficial","157640"
"6","6","6","Badajoz","null","null","1585518300000","31/03/2020 12:00:00","586","23","null","11","Extremadura","35804468650.6458","1353969.39902506","82","1585566900000","null","null","null","null","null","null","null","null","null","null","null","f1fa0eab-7894-4d9e-8aca-877dc73091ab","1585936359017","hhkaos_hubcovid","1589812221194","Laura_geovoluntaria","null","673559"
"7","7","7","Balears, Illes","null","null","1585511100000","31/03/2020 12:00:00","1000","37","null","4","Illes Balears","8396295538.43665","1186368.82992752","99","1585566000000","null","856","471","null","null","93","150","null","www.caib.es","42","null","2157d12e-2531-4de9-b21b-d79d379dc274","1585936359017","hhkaos_hubcovid","1590486644157","Laura_geovoluntaria","null","1149460"
"8","8","8","Barcelona","null","null","1585603800000","31/03/2020 12:00:00","17607","0","null","9","Cataluña","13889015385.5331","922247.463519212","null","1585604700000","null","null","null","null","null","null","null","18150","https://app.powerbi.com/view?r=eyJrIjoiZTkyNTcwNjgtNTQ4Yi00ZTg0LTk1OTctNzM3ZGEzNWE4OTIxIiwidCI6IjNiOTQyN2RjLWQzMGUtNDNiYy04YzA2LWZmNzI1MzY3NmZlYyIsImMiOjh9","null","null","54d788b4-55a7-47cb-9d60-260766077880","1585936359017","hhkaos_hubcovid","1589986591693","hhkaos_hubcovid","DatoOficial","5664579"
"9","9","9","Burgos","null","null","1585604700000","31/03/2020 12:00:00","749","61","39","7","Castilla y León","26201925122.7478","1431764.70447321","null","1585567800000","null","512","263","null","null","52","null","3958","Consejería de Sanidad. Junta de Castilla y León.","30","null","c321b561-6575-4e2c-9adc-efa4dc08ca79","1585936359017","hhkaos_hubcovid","1587538956515","alvarospm_covid19","DatoOficial","356958"
"10","10","10","Cáceres","null","null","1585511100000","31/03/2020 12:00:00","null","null","null","11","Extremadura","33617523905.4187","1186573.02707822","null","null","null","null","null","null","null","null","null","null","null","null","null","4d285888-4c17-4039-8d9e-d7e9d011908d","1585936359017","hhkaos_hubcovid","1590177850299","OscarSesmiloVolun","null","394151"
"11","11","11","Cádiz","null","null","1585597500000","31/03/2020 12:00:00","539","14","null","1","Andalucía","11545625275.093","770113.092820484","16","1585649700000","null","null","216","null","null","19","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/actualidad/noticias","null","null","58c4dbb5-1c92-4fe7-b9b5-6f66e6b94759","1585936359017","hhkaos_hubcovid","1590486455278","Laura_geovoluntaria","DatoOficial","1240155"
"12","12","12","Castelló/Castellón","Castelló","Castellón","1585518300000","31/03/2020 12:00:00","584","32","9","10","Comunitat Valenciana","11394722309.5722","612719.670864419","null","1585562400000","null","null","null","null","null","null","null","null","null","null","null","804250be-d67e-49ba-99c6-a39508e4cecb","1585936359017","hhkaos_hubcovid","1590486237366","Laura_geovoluntaria","DatosNoOficiales","579962"
"13","13","13","Ciudad Real","null","null","1585511100000","31/03/2020 12:00:00","2807","272","null","8","Castilla-La Mancha","32786265219.444","1159918.20094654","null","1585562400000","null","null","1170","null","null","85","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/ya-son-252-los-pacientes-dados-de-alta-por-infeccion-de-coronavirus-en","null","null","c1eddf3f-dc18-487b-9686-7f5b365072dd","1585936359017","hhkaos_hubcovid","1590514821769","lauluol1","null","495761"
"14","14","14","Córdoba","null","null","1585518300000","31/03/2020 12:00:00","572","13","null","1","Andalucía","22209274302.7274","933246.404021188","null","1585563300000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","d6e9d6fa-e05b-4daa-aaf1-b930fbd0313d","1585936359017","hhkaos_hubcovid","1589364325673","Laura_geovoluntaria","DatoOficial","782979"
"15","15","15","Coruña, A","null","null","1585511100000","31/03/2020 12:00:00","null","null","null","12","Galicia","14932068954.0952","1237469.93212645","null","1585562400000","null","null","null","null","null","null","null","null","null","null","null","88d8ad37-78cd-4acc-aa53-3108f22b509b","1585936359017","hhkaos_hubcovid","1590238249745","scarrascov","DatoOficial","1119596"
"16","16","16","Cuenca","null","null","1585511100000","31/03/2020 12:00:00","293","64","null","8","Castilla-La Mancha","29155941925.6595","947414.037079231","null","1585562400000","null","null","181","null","null","22","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/ya-son-252-los-pacientes-dados-de-alta-por-infeccion-de-coronavirus-en","null","null","31035100-2759-4d62-ad65-b9e59a44c69a","1585936359017","hhkaos_hubcovid","1590514877937","lauluol1","null","196329"
"17","17","17","Girona","null","null","1585604700000","31/03/2020 12:00:00","1583","null","null","9","Cataluña","10750512245.0078","868204.067278638","null","1585604700000","null","null","null","null","null","null","null","2475","https://app.powerbi.com/view?r=eyJrIjoiZTkyNTcwNjgtNTQ4Yi00ZTg0LTk1OTctNzM3ZGEzNWE4OTIxIiwidCI6IjNiOTQyN2RjLWQzMGUtNDNiYy04YzA2LWZmNzI1MzY3NmZlYyIsImMiOjh9","null","null","fb76fa95-2d39-44bf-96e2-6db23dd29398","1585936359017","hhkaos_hubcovid","1588953099777","Javi_Gonzalez","DatoOficial","771044"
"18","18","18","Granada","null","null","1585604700000","31/03/2020 12:00:00","1061","67","null","1","Andalucía","20027459992.5618","832776.8138434","15","1585649700000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","afa3b96c-1032-4422-8d3d-9741f9f6603d","1585936359017","hhkaos_hubcovid","1589362758180","Laura_geovoluntaria","DatoOficial","914678"
"19","19","19","Guadalajara","null","null","1585511100000","31/03/2020 12:00:00","796","105","null","8","Castilla-La Mancha","21342453477.4426","1014990.58280063","null","1585562400000","null","null","295","null","null","31","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/ya-son-252-los-pacientes-dados-de-alta-por-infeccion-de-coronavirus-en","null","null","4cb852dc-f6ee-4c41-90cb-17b72b7ccca5","1585936359017","hhkaos_hubcovid","1590514875296","lauluol1","null","257762"
"20","20","20","Gipuzkoa","null","null","1585479600000","31/03/2020 12:00:00","1071","41","21","16","País Vasco","3757070367.2655","384948.138311547","null","1585566000000","null","null","357","null","null","41","null","null","http://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/29_marzo_Boletin.pdf","54","https://www.irekia.euskadi.eus/es/news/61171-osakidetza-establece-centros-salud-especificos-que-atenderan-todo-euskadi-las-personas-con-sintomas-respiratorios","a2712ed1-eb95-42e2-9f26-bc8ef64d11e9","1585936359017","hhkaos_hubcovid","1588871155407","Cris-Aguera","DatoOficial","723576"
"21","21","21","Huelva","null","null","1585604700000","31/03/2020 12:00:00","177","4","null","1","Andalucía","16155956866.9971","749398.555465251","2","1585649700000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","53c19d9c-a512-4038-9a7c-46db372adf89","1585936359017","hhkaos_hubcovid","1589813102664","Laura_geovoluntaria","DatoOficial","521870"
"22","22","22","Huesca","null","null","1585511100000","31/03/2020 12:00:00","215","11","null","2","Aragón","28522680120.9323","1026402.56184306","19","1585583100000","null","185","null","null","9","null","16","null","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.258203","14","null","f0ccb48c-1f9f-4472-89fe-14dc641dbc39","1585936359017","hhkaos_hubcovid","1591555001567","maria.96","DatoOficial","220461"
"23","23","23","Jaén","null","null","1585518300000","31/03/2020 12:00:00","599","23","null","1","Andalucía","21782269554.2645","773271.743628509","null","1585563300000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","35e0a0cb-95c8-4323-8888-42faa9db1f94","1585936359017","hhkaos_hubcovid","1589368331848","Laura_geovoluntaria","DatoOficial","633564"
"24","24","24","León","null","null","1585604700000","31/03/2020 12:00:00","918","89","21","7","Castilla y León","28795543279.7163","1066905.31430635","null","1585567800000","null","690","461","null","null","54","null","4232","Consejería de Sanidad. Junta de Castilla y León.","97","null","1020a367-5146-473e-a902-2949ec2d439e","1585936359017","hhkaos_hubcovid","1587538958625","alvarospm_covid19","DatoOficial","460001"
"25","25","25","Lleida","null","null","1585604700000","31/03/2020 12:00:00","846","null","null","9","Cataluña","22094457592.2068","1062933.84050097","null","1585602000000","null","null","null","null","null","null","null","1019","https://app.powerbi.com/view?r=eyJrIjoiZTkyNTcwNjgtNTQ4Yi00ZTg0LTk1OTctNzM3ZGEzNWE4OTIxIiwidCI6IjNiOTQyN2RjLWQzMGUtNDNiYy04YzA2LWZmNzI1MzY3NmZlYyIsImMiOjh9","null","null","9238a88a-33c1-490d-813d-7559c9e1d655","1585936359017","hhkaos_hubcovid","1588952634959","Javi_Gonzalez","DatoOficial","434930"
"26","26","26","Rioja, La","null","null","1585597500000","31/03/2020 12:00:00","1733","71","null","17","La Rioja","9221774931.44409","737060.190838558","517","1585648800000","null","null","420","null","null","null","null","null","https://www.larioja.com/la-rioja/coronavirus/muertos-rioja-llega-20200331110303-nt.html","null","null","a2f9b6b8-4f29-405f-8bae-7692cfb14335","1585936359017","hhkaos_hubcovid","1590097306986","Laura_geovoluntaria","null","316798"
"27","27","27","Lugo","null","null","1585507500000","31/03/2020 12:00:00","null","null","null","12","Galicia","18445649986.3105","851633.558935164","null","1585562400000","null","null","null","null","null","null","null","null","null","null","null","d8bc99ef-47d0-4669-a7b8-5400578e7d66","1585936359017","hhkaos_hubcovid","1590259054402","scarrascov","DatoOficial","329587"
"28","28","28","Madrid","null","null","1585511100000","31/03/2020 12:00:00","35061","3392","null","13","Comunidad de Madrid","13903799376.4879","907493.42303256","9330","1585594800000","null","null","23125","null","null","2464","null","null","https://covid19.isciii.es/","null","null","29998353-5c2b-416c-90c2-abc9068de637","1585936359017","hhkaos_hubcovid","1590261722753","scarrascov","DatoOficial","6663394"
"29","29","29","Málaga","null","null","1585518300000","31/03/2020 12:00:00","1321","69","185","1","Andalucía","11421000534.4965","682122.356140225","83","1585563300000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","14e65c1a-59b2-4522-9a0e-41d6b1eb0dfb","1585936359017","hhkaos_hubcovid","1589372677663","Laura_geovoluntaria","null","1661785"
"30","30","30","Murcia","null","null","1585597500000","31/03/2020 12:00:00","974","34","3","14","Región de Murcia","18247305092.7232","823522.734893093","20","1585736100000","null","920","283","637","null","59","null","null","http://www.murciasalud.es/covid19","35","null","7297ed90-75c4-4e49-88c4-cd432f69baa9","1585936359017","hhkaos_hubcovid","1591721753213","JsoVoluntario","DatoOficial","1493898"
"31","31","31","Navarra","null","null","1585597500000","31/03/2020 12:00:00","2305","113","31","15","Comunidad Foral de Navarra","19290794014.5168","1035661.0548553","null","1585736100000","null","2000","696","1304","80","83","429","null","https://gobiernoabierto.navarra.es/es/coronavirus","159","Se empezaron tomando los acumulados en las altas hospitalarias, pero ahora se toman las del día, que son las que figuran","375af03a-e6ac-41fa-adac-7f5b8a7c0c13","1585936359017","hhkaos_hubcovid","1589975501930","Laura_geovoluntaria","DatoOficial","654214"
"32","32","32","Ourense","null","null","1585604700000","31/03/2020 12:00:00","null","null","null","12","Galicia","13264160827.6924","756880.420274948","null","1585648800000","null","null","null","null","null","null","null","null","null","null","null","120c4cf2-da4f-44af-94ff-f048cf44d294","1585936359017","hhkaos_hubcovid","1590257628318","scarrascov","DatoOficial","307651"
"33","33","33","Asturias","null","null","1585511100000","31/03/2020 12:00:00","1330","55","null","3","Principado de Asturias","20016196685.8979","997004.555159566","90","1585591200000","null","1185","null","null","null","null","null","null","null","null","null","0a76e2f9-0b59-4978-b4be-b8564257aa79","1585936359017","hhkaos_hubcovid","1590224180420","inmapg","null","1022800"
"34","34","34","Palencia","null","null","1585604700000","31/03/2020 12:00:00","293","18","5","7","Castilla y León","14761449905.1367","912469.900487087","null","1585567800000","null","242","112","null","null","19","null","1385","Consejería de Sanidad. Junta de Castilla y León.","31","null","5d39fdb0-8ee5-43e2-a717-08c980c9dea8","1585936359017","hhkaos_hubcovid","1587538960573","alvarospm_covid19","DatoOficial","160980"
"35","35","35","Palmas, Las","null","null","1585428300000","31/03/2020 12:00:00","317","11","null","5","Canarias","5250080875.58447","720670.346522967","6","1585582200000","null","300","125","175","null","31","null","null","https://www3.gobiernodecanarias.org/sanidad/scs/content/dcb400c5-6504-11ea-9a8e-719d4b52bf6c/InformeCasosCOVID-19.pdf","null","null","11a6cbca-7273-4264-98c9-1950956dd157","1585936359017","hhkaos_hubcovid","1590089265182","Laura_geovoluntaria","DatoOficial","1120406"
"36","36","36","Pontevedra","null","null","1585604700000","31/03/2020 12:00:00","null","null","null","12","Galicia","8247232678.68164","859724.935392056","null","1585648800000","null","null","null","null","null","null","null","null","null","null","null","97816d56-bcb4-4172-8a96-dd921d9d6c43","1585936359017","hhkaos_hubcovid","1590256545191","scarrascov","DatoOficial","942665"
"37","37","37","Salamanca","null","null","1585604700000","31/03/2020 12:00:00","1078","110","24","7","Castilla y León","21574825477.1233","886047.450189591","null","1585567800000","null","787","319","null","null","51","null","4707","Consejería de Sanidad. Junta de Castilla y León.","48","null","8d464041-a09a-4815-b996-c831c7888f9b","1585936359017","hhkaos_hubcovid","1587538963102","alvarospm_covid19","DatoOficial","330119"
"38","38","38","Santa Cruz de Tenerife","null","null","1585428300000","31/03/2020 12:00:00","808","28","null","5","Canarias","4370867925.43896","603715.044656903","24","1585582200000","null","756","239","517","null","39","null","null","https://www3.gobiernodecanarias.org/sanidad/scs/content/dcb400c5-6504-11ea-9a8e-719d4b52bf6c/InformeCasosCOVID-19.pdf","null","null","43f0143d-d03c-4acc-a313-6bb0be1ef1d5","1585936359017","hhkaos_hubcovid","1590089269249","Laura_geovoluntaria","DatoOficial","1032983"
"39","39","39","Cantabria","null","null","1585683900000","01/04/2020 02:00:01","1171","54","35","6","Cantabria","10023924751.6289","868892.439767776","43","1585736100000","null","1116","null","null","null","null","null","null","null","71","null","f57e51d2-1d52-4584-8c89-2916db0b9f95","1585936359017","hhkaos_hubcovid","1590224175686","inmapg","null","581078"
"40","40","40","Segovia","null","null","1585604700000","31/03/2020 12:00:00","629","69","25","7","Castilla y León","12230053388.2772","643652.579788899","null","1585567800000","null","404","312","null","null","23","null","2836","Consejería de Sanidad. Junta de Castilla y León.","62","null","a375205d-e718-499f-8ee4-c32747c9cfda","1585936359017","hhkaos_hubcovid","1587538965310","alvarospm_covid19","DatoOficial","153129"
"41","41","41","Sevilla","null","null","1585604700000","31/03/2020 12:00:00","1119","36","null","1","Andalucía","22303263242.8938","1037151.22558228","17","1585649700000","null","null","null","null","null","null","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","16dcb698-be92-41a4-b534-dae694d3010f","1585936359017","hhkaos_hubcovid","1589374501890","Laura_geovoluntaria","DatoOficial","1942389"
"42","42","42","Soria","null","null","1585604700000","31/03/2020 12:00:00","550","37","10","7","Castilla y León","18458198763.2383","850306.77281099","null","1585567800000","null","442","112","null","null","19","null","1179","Consejería de Sanidad. Junta de Castilla y León.","27","null","aeca43f0-3976-4850-a810-d5cdf2df342c","1585936359017","hhkaos_hubcovid","1587538966368","alvarospm_covid19","DatoOficial","88636"
"43","43","43","Tarragona","null","null","1585604700000","31/03/2020 12:00:00","685","null","null","9","Cataluña","11105390692.9943","794492.586704238","null","1585604700000","null","null","null","null","null","null","null","1830","https://app.powerbi.com/view?r=eyJrIjoiZTkyNTcwNjgtNTQ4Yi00ZTg0LTk1OTctNzM3ZGEzNWE4OTIxIiwidCI6IjNiOTQyN2RjLWQzMGUtNDNiYy04YzA2LWZmNzI1MzY3NmZlYyIsImMiOjh9","null","null","bb3bbb47-1ca2-46ec-a207-072fdf2d4b06","1585936359017","hhkaos_hubcovid","1588952034830","Javi_Gonzalez","DatoOficial","804664"
"44","44","44","Teruel","null","null","1585511100000","31/03/2020 12:00:00","222","12","null","2","Aragón","25763161230.5528","1093244.35067914","14","1585583100000","null","null","null","null","null","null","41","null","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.258203","14","null","3ed93ff2-5c4b-422a-9fc7-7f7489bc280b","1585936359017","hhkaos_hubcovid","1590090305347","maria.96","DatoOficial","134137"
"45","45","45","Toledo","null","null","1585511100000","31/03/2020 12:00:00","1673","181","null","8","Castilla-La Mancha","26062408685.5923","1170191.39004264","null","1585562400000","null","null","731","null","null","82","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/ya-son-252-los-pacientes-dados-de-alta-por-infeccion-de-coronavirus-en","null","null","35b2b13b-f10f-41dd-b4fb-6847fb788ba6","1585936359017","hhkaos_hubcovid","1590514866063","lauluol1","null","694844"
"46","46","46","València/Valencia","València","ValénciaValencia","1585518300000","31/03/2020 12:00:00","2685","143","130","10","Comunitat Valenciana","18109383103.896","922452.889088518","null","null","null","null","null","null","null","null","null","null","null","null","null","e779c734-708e-4add-85f7-9f5da2998a6a","1585936359017","hhkaos_hubcovid","1587418798308","Laura_geovoluntaria","DatosNoOficiales","2565124"
"47","47","47","Valladolid","null","null","1585604700000","31/03/2020 12:00:00","929","66","18","7","Castilla y León","14530114765.1155","922296.628605924","null","1585567800000","null","718","465","null","null","82","null","4486","Consejería de Sanidad. Junta de Castilla y León.","43","null","b9704f63-02ab-43b8-8baa-6a547c4dde02","1585936359017","hhkaos_hubcovid","1587538996055","alvarospm_covid19","DatoOficial","519546"
"48","48","48","Bizkaia","null","null","1585479600000","31/03/2020 12:00:00","2937","133","66","16","País Vasco","4161208808.04736","511246.606872968","null","1585566000000","null","null","1233","null","null","121","null","null","http://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/29_marzo_Boletin.pdf","161","https://www.irekia.euskadi.eus/es/news/61171-osakidetza-establece-centros-salud-especificos-que-atenderan-todo-euskadi-las-personas-con-sintomas-respiratorios","ef7374ef-33dd-4b18-8b4a-980fce3a3403","1585936359017","hhkaos_hubcovid","1588870935302","Cris-Aguera","DatoOficial","1152651"
"49","49","49","Zamora","null","null","1585604700000","31/03/2020 12:00:00","209","20","6","7","Castilla y León","18979218653.3601","959574.045441714","null","1585567800000","null","153","99","null","null","14","null","885","Consejería de Sanidad. Junta de Castilla y León.","17","null","e9cef73f-459c-4b49-9a52-df914ab8a523","1585936359017","hhkaos_hubcovid","1587538997451","alvarospm_covid19","DatoOficial","172539"
"50","50","50","Zaragoza","null","null","1585511100000","31/03/2020 12:00:00","1641","81","null","2","Aragón","30938162399.6901","1504146.11095387","141","1585583100000","null","1419","null","null","123","null","214","null","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.258161","192","null","e1fec8a8-b7f5-4b66-879c-aa0379917eb0","1585936359017","hhkaos_hubcovid","1590089809530","maria.96","DatoOficial","964693"
"51","51","51","Ceuta","null","null","1585511100000","31/03/2020 12:00:00","25","1","null","18","Ceuta","29814322.4335938","31521.3417074353","0","1585594800000","null","null","2","null","null","2","null","null","https://covid19.isciii.es/","null","null","06fafcad-866a-482e-b298-5351204c0378","1585936359017","hhkaos_hubcovid","1590321616720","scarrascov","DatoOficial","84777"
"52","52","52","Melilla","null","null","1585511100000","31/03/2020 12:00:00","51","1","null","19","Melilla","20086088.0976563","22527.2076830151","0","1585594800000","null","null","27","null","null","3","null","null","https://covid19.isciii.es/","null","null","a6058a6f-ddce-4868-bd48-9eae2b8e630f","1585936359017","hhkaos_hubcovid","1590321738150","scarrascov","DatoOficial","86487"
"53","1","1","Araba/Álava","Araba","Álava","1585566000000","03/31/2020 02:00:00","2105","133","57","16","País Vasco","5557534465.06885","846248.046485937","null","1585652400000","null","null","379","null","null","36","null","null","https://www.irekia.euskadi.eus/es/news/61197-euskadi-registra-263-nuevos-positivos-por-covid-las-ultimas-horas , http://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/30_marzo_Boletin.pdf","56","null","ce0f8062-6a8a-497a-a8d8-811ec0db93c2","1585936359017","hhkaos_hubcovid","1588868926336","Cris-Aguera","DatoOficial","331549"
"54","2","2","Albacete","null","null","1585597500000","03/31/2020 02:00:00","1707","148","null","8","Castilla-La Mancha","24626682938.0562","942989.503251293","null","1585648800000","null","null","null","null","null","null","null","null","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/el-numero-de-casos-curados-en-castilla-la-mancha-asciende-cerca-de-300","null","null","0a628ad9-2759-4255-9ebe-7a4c5bc64dfa","1585936359017","hhkaos_hubcovid","1590534877604","Laura_geovoluntaria","null","388167"
"55","3","3","Alacant/Alicante","Alacant","Alicante","1585691940000","03/31/2020 02:00:00","2021","147","7","10","Comunitat Valenciana","9504805442.43113","608315.06438318","null","1585742400000","null","null","null","null","null","null","null","null","null","null","null","c0567c3e-724c-4cc4-9937-c761f0695ec5","1585936359017","hhkaos_hubcovid","1590071683251","Laura_geovoluntaria","DatosNoOficiales","1858683"
"56","4","4","Almería","null","null","1585526400000","03/31/2020 02:00:00","251","16","null","1","Andalucía","13853080471.8989","678900.156869268","6","1585649700000","null","null","108","null","null","15","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/areas/salud-vida/paginas/coronavirus-comunicados-anteriores.html","null","null","51a63a8a-4ec7-4cfc-ba5a-97a5ac4b4aa5","1585936359017","hhkaos_hubcovid","1589364013090","Laura_geovoluntaria","DatoOficial","716820"
"57","5","5","Ávila","null","null","1585612800000","03/31/2020 02:00:00","467","54","20","7","Castilla y León","13966110337.1309","767153.038310992","null","1585654200000","null","302","144","null","null","16","null","2129","Consejería de Sanidad. Junta de Castilla y León.","21","null","ee2857bd-a76a-4912-9f69-9728d3c8c9b8","1585936359017","hhkaos_hubcovid","1587538999781","alvarospm_covid19","DatoOficial","157640"
"58","6","6","Badajoz","null","null","1585526400000","03/31/2020 02:00:00","null","null","null","11","Extremadura","35804468650.6367","1353969.39902511","null","null","null","null","null","null","null","null","null","null","null","null","null","4ea17ab6-16c6-4f4f-8fe5-4463e1b9be5e","1585936359017","hhkaos_hubcovid","1588343126800","OscarSesmiloVolun","null","673559"
"59","7","7","Balears, Illes","null","null","1585597500000","03/31/2020 02:00:00","1069","43","null","4","Illes Balears","8396295538.42914","1186368.8299276","111","1585652400000","null","915","578","null","null","96","175","null","www.caib.es","69","null","4c7bd14f-e245-449f-a4b3-d40dab31faec","1585936359017","hhkaos_hubcovid","1590486660330","Laura_geovoluntaria","null","1149460"
"60","8","8","Barcelona","null","null","1585688400000","03/31/2020 02:00:00","19147","null","null","9","Cataluña","13889015385.535","922247.463519101","null","1585688400000","null","null","null","null","null","null","null","19772","https://app.powerbi.com/view?r=eyJrIjoiZTkyNTcwNjgtNTQ4Yi00ZTg0LTk1OTctNzM3ZGEzNWE4OTIxIiwidCI6IjNiOTQyN2RjLWQzMGUtNDNiYy04YzA2LWZmNzI1MzY3NmZlYyIsImMiOjh9","1540","null","5492048a-9ff1-494e-99e9-66baf864b5f8","1585936359017","hhkaos_hubcovid","1588952575084","Javi_Gonzalez","DatoOficial","5664579"
"61","9","9","Burgos","null","null","1585612800000","03/31/2020 02:00:00","790","69","39","7","Castilla y León","26201925122.7522","1431764.70447321","null","1585654200000","null","506","250","null","null","55","null","4292","Consejería de Sanidad. Junta de Castilla y León.","41","null","c0902d49-163a-47b5-8f56-ea5fcb3671a1","1585936359017","hhkaos_hubcovid","1587539001125","alvarospm_covid19","DatoOficial","356958"
"62","10","10","Cáceres","null","null","1585526400000","03/31/2020 02:00:00","1067","114","null","11","Extremadura","33617523905.4158","1186573.02707819","null","1585736100000","null","null","null","null","null","null","null","null","null","null","null","889fd4a6-456d-44a5-9421-7eb811117a07","1585936359017","hhkaos_hubcovid","1588343520831","OscarSesmiloVolun","null","394151"
"63","11","11","Cádiz","null","null","1585683900000","03/31/2020 02:00:00","645","17","null","1","Andalucía","11545625275.0903","770113.092820534","17","1585736100000","null","null","266","null","null","22","null","null","https://www.juntadeandalucia.es/organismos/saludyfamilias/actualidad/noticias","null","null","2cf8c28b-9240-460e-a22e-a72aefc4649b","1585936359017","hhkaos_hubcovid","1590074796927","Laura_geovoluntaria","DatoOficial","1240155"
"64","12","12","Castelló/Castellón","Castelló","Castellón","1585605540000","03/31/2020 02:00:00","613","34","0","10","Comunitat Valenciana","11394722309.5724","612719.670864396","null","1585656000000","null","null","null","null","null","null","null","null","null","null","null","afea76eb-15f7-4533-967a-1c12c691db2d","1585936359017","hhkaos_hubcovid","1589812419984","Laura_geovoluntaria","DatosNoOficiales","579962"
